,uBlue,Blue,Green,Red,Swir1,Nir,Swir2,dt
206,795.1824973319103,795.1824973319103,981.2863903394256,957.5,1773.0622871736664,2590.5,1205.4999999999998,2002-03-01
207,559.5,559.5,734.0,840.2507374631268,1917.9999999999998,1766.4,1423.5,2002-04-01
208,596.5,596.5,787.5,884.8748159057436,1925.8702290076335,1709.4,1552.401968826907,2002-05-01
209,556.3625,556.3625,807.199780461032,849.8127413127414,2042.8,2141.743150684931,1537.5,2002-06-01
210,508.0,508.0,726.0,847.0,1925.0,2239.9999999999995,1429.0,2002-07-01
211,657.0,657.0,818.8871279474295,910.8252427184466,1945.6259204712812,2349.471632955106,1358.3945047489824,2002-08-01
212,528.8569023569024,528.8569023569024,707.9999999999999,824.0000000000001,1793.0,2146.0,1249.0,2002-09-01
213,462.35848172446106,462.35848172446106,590.0,670.0,1569.9999999999998,1792.0000000000002,1050.0,2002-10-01
214,403.0,403.0,555.0,632.5,1608.6554338668916,1600.0,1030.1474067333938,2002-11-01
215,400.0,400.0,578.0,492.0,1357.0,2167.0,756.0,2002-12-01
216,400.0,400.0,573.0,442.0,1349.0,2524.0,706.0,2003-01-01
217,498.07892998679,498.07892998679,743.5,688.2439585730725,1734.5654296875002,2517.0,1047.0,2003-02-01
218,481.0,481.0,700.0,659.0,1662.8741362290227,2324.65538253216,1062.0,2003-03-01
219,888.5876395204631,888.5876395204631,1172.8757367387034,1198.875,2093.125,2778.1084953940635,1416.5,2003-04-01
220,714.0,714.0,1069.0,1230.9999999999998,2560.0,2608.0000000000005,1765.0000000000002,2003-05-01
221,680.5,680.5,1026.5,1139.0420792079208,2329.891844744876,2731.1910569105685,1638.611111111111,2003-06-01
222,636.3,636.3,938.25,1076.0,2151.0,2608.6666666666665,1513.0,2003-07-01
223,668.0,668.0,923.9999999999999,1045.0,2086.0,2571.0,1383.0,2003-08-01
224,541.0,541.0,761.0,866.0,1835.0000000000002,2326.0,1180.0,2003-09-01
225,525.0,525.0,735.0,879.0,1780.0,2257.0000000000005,1078.0,2003-10-01
226,290.99999999999994,290.99999999999994,415.0,497.0,1455.0,1141.0,885.0,2003-11-01
227,361.0,361.0,472.0,556.0,1711.0,1000.0,1189.0,2003-12-01
228,3442.3698979591836,3442.3698979591836,3542.623905429072,3518.5,3500.0,3831.0,2505.5,2004-01-01
229,457.0,457.0,660.0,682.0,2078.412037037037,1362.0,1565.0,2004-02-01
230,670.5,670.5,905.3117478510028,986.4370229007633,2210.6384228187917,1933.0928308823527,1725.2142857142856,2004-03-01
231,911.0,911.0,1202.5,1255.0,2641.75,2705.5,1965.0,2004-04-01
232,763.0,763.0,985.0,1035.0,1850.0,2405.0,1241.0,2004-05-01
233,741.0,741.0,1081.0,1170.0258980785297,2514.022988505747,2736.73075704783,1778.1584205518554,2004-06-01
234,691.5,691.5,1007.3263123784835,1155.5,2308.7470930232557,2593.5,1615.4253075571175,2004-07-01
235,587.0,587.0,893.5,1027.5,1979.063356164384,2258.5,1362.3778713629404,2004-08-01
236,645.0,645.0,920.0,1107.0,1992.9999999999998,2486.579536370903,1353.9999999999998,2004-09-01
237,422.0,422.0,647.0,733.0,1670.0,1937.0,1074.0,2004-10-01
238,378.0,378.0,535.0,494.0,1374.0,1520.0,817.0,2004-11-01
239,425.36595866819744,425.36595866819744,582.0,570.5,1812.0000000000002,2118.0593220338983,1054.5,2004-12-01
240,1797.0,1797.0,1972.2209705372618,1996.0,2792.0,3307.5,2243.247813411079,2005-01-01
241,516.0,516.0,724.5,659.0,1908.1635883905012,2815.3375000000005,1138.1410521955263,2005-02-01
242,414.7421254047689,414.7421254047689,606.0,477.0,1755.0,3492.0,927.0,2005-03-01
243,671.0,671.0,959.0,880.5,2006.5,3549.1555269922883,1128.5,2005-04-01
244,800.0,800.0,1107.0,1140.0,2613.3240469208213,2768.8581043185645,1701.0,2005-05-01
245,496.0,496.0,790.0,844.0,2287.0,2515.0,1438.0000000000002,2005-06-01
246,504.0,504.0,846.0,925.0,2281.0,2863.0,1375.0,2005-07-01
247,575.0,575.0,882.0,1015.0,2301.9999999999995,2702.0,1422.0,2005-08-01
248,557.0,557.0,802.0,947.0,2185.8279055870935,2773.242603550296,1273.6508791832105,2005-09-01
249,453.5,453.5,664.1494845360825,810.6503729878289,1991.4999999999998,2564.649082568808,1114.09202195019,2005-10-01
250,484.26984126984127,484.26984126984127,636.4162647115569,632.9381197208961,1485.4993240198287,2253.0,751.0215827338128,2005-11-01
252,388.0,388.0,659.0,541.0,2068.0,3203.732029117379,1032.9112388250321,2006-02-01
254,394.0,394.0,678.0,583.0,1780.0,3204.0,880.0,2006-04-01
255,689.0,689.0,1009.1365096359743,1097.3662977508031,2430.251797526603,2692.5,1635.9999999999998,2006-05-01
256,777.3207867897038,777.3207867897038,1018.0,1279.3194029850745,2959.0,1899.0,2319.0379746835442,2006-06-01
257,752.0926923076922,752.0926923076922,1000.0000000000001,1211.5,2399.0,1628.7142857142858,2151.0,2006-07-01
258,734.25,734.25,932.8262942779293,1103.3417132216014,2189.714902807775,1497.5,1953.7179269328801,2006-08-01
259,673.2025416997617,673.2025416997617,898.0,1022.621834687052,1934.8333333333333,1430.2,1703.339547270306,2006-09-01
260,737.0,737.0,772.0,814.75,1573.6096938775509,1234.0,1301.0,2006-10-01
261,378.0,378.0,405.0,436.0,974.0,936.0,689.0,2006-11-01
263,351.18125,351.18125,646.0,509.0,1471.0,2244.1990291262136,793.3648954211418,2007-01-01
264,397.0,397.0,685.0,647.0,1765.0,2411.0,1106.0,2007-02-01
265,496.5,496.5,779.0,688.1258637709773,1863.2537313432836,2958.5,1143.0,2007-03-01
266,513.5,513.5,773.1556517775753,846.3316831683169,1977.0823902218199,2223.5,1344.0,2007-04-01
267,688.0,688.0,959.0,1120.3525179856115,2246.0,1761.9999999999998,1861.0,2007-05-01
268,818.9689831173929,818.9689831173929,1053.0,1253.133192945512,2449.2292917166865,1904.3793198783524,1972.0,2007-06-01
269,700.0,700.0,961.0,1103.0,2218.0,1802.0000000000002,1803.0,2007-07-01
270,622.2230971128608,622.2230971128608,918.5395393474088,1064.5,2162.5555555555557,1908.3333333333333,1734.245183175034,2007-08-01
271,572.3479381443299,572.3479381443299,802.0,876.1521261728888,1801.3690851735014,1952.0,1274.0,2007-09-01
274,398.40338164251204,398.40338164251204,596.0,500.5,1613.3689557090613,3122.3571428571427,801.4539767649686,2008-02-01
275,456.0,456.0,758.0,676.0,1672.3310828356273,3634.3333333333335,886.0,2008-03-01
276,721.2,721.2,997.0,1219.1978672985783,2490.5915492957747,1946.9107266435988,1822.73008190618,2008-04-01
277,771.0000000000001,771.0000000000001,1054.0,1229.0,2522.0,2028.0,1830.2213294375456,2008-05-01
278,728.4763779527559,728.4763779527559,1021.5,1216.8402679830747,2581.410628019323,2396.0,1825.0,2008-06-01
